name  from_junction  to_junction        qext_w  \
288          Sink_41284           1384         1385  5.300000e+04   
289          Sink_41266            698          699  1.786670e+05   
290          Sink_41107            610          611  1.000000e+04   
291          Sink_41095            662          663  1.100000e+04   
292           Sink_4108            142          143  7.557700e+04   
293          Sink_41060            666          667  5.266670e+05   
294          Sink_41049            676          677  5.533300e+04   
295          Sink_40892            678          679  1.443330e+05   
296          Sink_40794            660          661  9.000000e+03   
297           Sink_4079            144          145  2.633300e+04   
298          Sink_40770            664          665  8.000000e+03   
299          Sink_39150            652          653  2.196670e+05   
300          Sink_39113            632          633  9.666700e+04   
301          Sink_39039            314          315  4.266700e+04   
302          Sink_38905            890          891  8.000000e+03   
303          Sink_38706            612          613  8.000000e+03   
304          Sink_38595            614          615  8.766700e+04   
305          Sink_38429            596          597  8.166700e+04   
306          Sink_38427            598          599  5.533300e+04   
307          Sink_38343            622          623  1.300000e+04   
308          Sink_37884            608          609  1.403330e+05   
309          Sink_37782            576          577  1.500000e+04   
310          Sink_37780            568          569  8.000000e+03   
311          Sink_37591            592          593  3.633300e+04   
312          Sink_36960            570          571  8.000000e+03   
313          Sink_36016            578          579  9.000000e+03   
314          Sink_35793            548          549  8.500000e+04   
315          Sink_35245            538          539  9.000000e+03   
316           Sink_3493            136          137  5.566700e+04   
317          Sink_34250            492          493  3.310000e+04   
318          Sink_34191            542          543  5.066670e+05   
319          Sink_34155            534          535  1.046670e+05   
320          Sink_34067            526          527  1.290000e+05   
321           Sink_3397            126          127  1.766670e+05   
322          Sink_33952            528          529  1.136670e+05   
323          Sink_33920            516          517  2.900000e+04   
324          Sink_33839            290          291  1.150000e+05   
325          Sink_32957            536          537  6.000000e+03   
326          Sink_32344            486          487  6.966700e+04   
327          Sink_32090            376          377  8.500000e+04   
328          Sink_31937            498          499  6.200000e+04   
329          Sink_30575            482          483  7.666700e+04   
330          Sink_29994            478          479  6.966700e+04   
331          Sink_29939            470          471  4.946700e+04   
332          Sink_29864            474          475  9.000000e+03   
333          Sink_29629            472          473  6.966670e+05   
334          Sink_29484             78           79  1.466700e+04   
335          Sink_29012            466          467  5.633300e+04   
336          Sink_27615            456          457  8.300000e+04   
337          Sink_27501            304          305  1.503330e+05   
338          Sink_27239            462          463  8.900000e+04   
339          Sink_26998            512          513  6.800000e+04   
340          Sink_25489            468          469  1.400000e+05   
341          Sink_25472            448          449  5.800000e+04   
342          Sink_25321            450          451  8.233300e+04   
343          Sink_24920            452          453  2.100000e+04   
344          Sink_23736            280          281  1.996670e+05   
345          Sink_23720            414          415  1.440000e+05   
346           Sink_2365            174          175  9.666700e+04   
347           Sink_2330            108          109  5.633300e+04   
348          Sink_23009            410          411  4.933300e+04   
349          Sink_22908            442          443  1.110000e+05   
350          Sink_22905            436          437  1.233330e+05   
351          Sink_21859            420          421  9.233300e+04   
352          Sink_21775            426          427  1.053330e+05   
353          Sink_21635            426          427  1.366670e+05   
354          Sink_21588            378          379  1.133300e+04   
355          Sink_21414            642          643  1.090000e+05   
356          Sink_20661            398          399  5.900000e+04   
357          Sink_20653            436          437  8.966700e+04   
358          Sink_20284            484          485  4.433300e+04   
359          Sink_20238            388          389  2.573330e+05   
360          Sink_20236            386          387  2.553330e+05   
361          Sink_20232            386          387  1.290000e+05   
362          Sink_20196            382          383  6.133300e+04   
363          Sink_20194            382          383  8.466700e+04   
364          Sink_19911            380          381  1.133330e+05   
365          Sink_19740            494          495  5.833300e+04   
366          Sink_19621            404          405  1.096670e+05   
367          Sink_19616            344          345  3.320000e+05   
368          Sink_19611            370          371  5.900000e+04   
369          Sink_19572            360          361  1.923330e+05   
370           Sink_1941             36           37  6.000000e+03   
371           Sink_1933            504          505  5.333300e+04   
372          Sink_19274            334          335  5.230000e+05   
373          Sink_19266            356          357  2.216670e+05   
374            Sink_192              0            1  2.966700e+04   
375          Sink_19185            350          351  7.633300e+04   
376           Sink_1917             64           65  4.100000e+04   
377          Sink_18874            340          341  9.066700e+04   
378          Sink_17137            488          489  6.900000e+04   
379           Sink_1694             62           63  1.040000e+05   
380          Sink_16837            304          305  1.126670e+05   
381          Sink_16793            300          301  2.366670e+05   
382          Sink_16605            194          195  3.000000e+04   
383          Sink_16557            286          287  1.343330e+05   
384          Sink_16187            292          293  5.000000e+04   
385          Sink_15027            270          271  1.433330e+05   
386          Sink_15021            288          289  9.666700e+04   
387           Sink_1491             52           53  7.000000e+03   
388           Sink_1477             50           51  4.000000e+03   
389           Sink_1473             46           47  7.000000e+03   
390           Sink_1398            514          515  5.500000e+04   
391          Sink_12744            234          235  1.673330e+05   
392         Sink_118160           1420         1421  8.000000e+04   
393         Sink_118151           1424         1425  7.033300e+04   
394         Sink_117594           1412         1413  6.946700e+04   
395         Sink_117566           1416         1417  8.813300e+04   
396         Sink_116892           1422         1423  2.133300e+04   
397         Sink_116837           1050         1051  1.080000e+05   
398          Sink_11651            262          263  4.266700e+04   
399           Sink_1164             18           19  1.600000e+05   
400           Sink_1124             28           29  6.700000e+04   
401          Sink_11221            250          251  8.200000e+04   
402           Sink_1114             26           27  5.733300e+04   
403         Sink_111228           1410         1411  1.133330e+05   
404         Sink_111213           1408         1409  1.203330e+05   
405         Sink_111196           1406         1407  6.230000e+05   
406         Sink_111171           1404         1405  8.633300e+04   
407         Sink_111160           1402         1403  1.511330e+05   
408         Sink_111150           1400         1401  9.033300e+04   
409         Sink_111142           1398         1399  1.000000e+05   
410         Sink_106507           1396         1397  6.866700e+04   
411         Sink_106501           1392         1393  3.833330e+05   
412         Sink_106327           1392         1393  0.000000e+00   
413         Sink_106090           1390         1391  6.400000e+04   
414          Sink_10595            220          221  9.500000e+04   
415         Sink_105813           1376         1377  9.433300e+04   
416         Sink_105810           1374         1375  4.466700e+04   
417         Sink_105562             34           35  6.000000e+03   
418         Sink_105543           1372         1373  6.366700e+04   
419         Sink_105411            478          479  1.086670e+05   
420         Sink_105118           1362         1363  3.666700e+04   
421         Sink_103293           1358         1359  3.366700e+04   
422         Sink_102637           1348         1349  8.000000e+03   
423          Sink_10258            252          253  7.633300e+04   
424          Sink_10099            246          247  5.733300e+04   
425          Sink_10095            244          245  1.466670e+05   
426         Sink_100444           1330         1331  5.000000e+03   
427         Sink_100443           1236         1237  7.000000e+03   
428         Sink_100442           1342         1343  5.000000e+03   
429         Sink_100441           1342         1343  9.000000e+03   
430         Sink_100439           1326         1327  9.000000e+03   
431         Sink_100438           1326         1327  8.000000e+03   
432         Sink_100437           1064         1065  5.000000e+03   
433         Sink_100436           1064         1065  4.000000e+03   
434         Sink_127410           1494         1495  5.000000e+03   
435         Sink_100427           1496         1497  1.000000e+04   
436         Sink_127464           1478         1479  7.000000e+03   
437         Sink_100403           1276         1277  4.300000e+04   
438         Sink_100402           1292         1293  3.496670e+05   
439         Sink_100382           1336         1337  8.366700e+04   
440         Sink_100340           1058         1059  9.000000e+03   
441         Sink_100339           1056         1057  9.000000e+03   
442         Sink_100338           1328         1329  8.000000e+03   
443         Sink_100335            714          715  4.000000e+03   
444         Sink_100334           1160         1161  6.000000e+03   
445         Sink_100333           1324         1325  4.000000e+03   
446         Sink_100303           1318         1319  4.000000e+03   
447         Sink_100301           1318         1319  5.000000e+03   
448         Sink_100299           1316         1317  6.000000e+03   
449         Sink_100297           1314         1315  5.000000e+03   
450         Sink_100295           1312         1313  6.000000e+03   
451         Sink_100293           1310         1311  7.000000e+03   
452         Sink_100291           1308         1309  5.000000e+03   
453         Sink_100289           1294         1295  5.000000e+03   
454         Sink_100288           1294         1295  6.000000e+03   
455         Sink_127413           1498         1499  6.000000e+03   
456         Sink_127596           1502         1503  6.000000e+03   
457         Sink_100278           1304         1305  2.000000e+03   
458         Sink_100275           1302         1303  1.000000e+04   
